entidad_norm,id_entidad_pt,entidad_pt,regimen,periodo_pt,n_personas_pt,ingreso_mediana_pt,ingreso_p25_pt,ingreso_p75_pt,masa_mensual_pt,n_convocatorias_cas,salario_oferta_mediana_cas,gap_oferta_vs_ejecutado,fuente_pt_url
MUNICIPALIDAD DISTRITAL DE CHORRILLOS (MDCHORRILLOS),10056,Municipalidad Distrital de Chorrillos (MDCHORRILLOS),CAS,2026-04,494,1953.5,1364.19,2500.0,1298121.21,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10056&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=17
OFICINA DE GESTION DE SERVICIOS DE SALUD ALTO HUALLAGA (OGESS - AH),69969,Oficina de Gestión de Servicios de Salud Alto Huallaga (OGESS - AH),CAS,2026-05,422,2605.93,1942.58,3000.97,1277066.63,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=69969&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=15
INSTITUTO NACIONAL DE CALIDAD (INACAL),14310,INSTITUTO NACIONAL DE CALIDAD (INACAL),CAS,2026-05,166,6364.19,4864.19,9364.19,1260674.68,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=14310&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=6
HOSPITAL CARLOS LANFRANCO LA HOZ (HCLLH),13151,Hospital Carlos Lanfranco La Hoz (HCLLH),CAS,2026-05,376,3199.81,2163.76,3264.19,1259696.91,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13151&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=13
SISTEMA METROPOLITANO DE LA SOLIDARIDAD (SISOL),13720,Sistema Metropolitano de la Solidaridad (SISOL),CAS,2026-05,413,1995.38,1522.48,3325.88,1256900.81,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13720&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=14
CORTE SUPERIOR DE PIURA (D.J. PIURA),10227,Corte Superior de Piura (D.J. PIURA),CAS,2026-04,359,3336.19,2314.19,4364.19,1248991.91,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10227&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=24
SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES (SBN),178,Superintendencia Nacional de Bienes Estatales (SBN),CAS,2026-05,237,5303.5,3864.19,6364.19,1231089.43,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=178&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=9
COMISION NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS (DEVIDA),11793,Comisión Nacional para el Desarrollo y Vida sin Drogas (DEVIDA),CAS,2026-04,215,5364.19,4404.19,6409.19,1224378.02,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11793&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=8
BIBLIOTECA NACIONAL DEL PERU (BNP),185,Biblioteca Nacional del Perú (BNP),CAS,2026-04,197,5302.15,3964.29,8364.19,1215520.13,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=185&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=7
"SISTEMA NACIONAL DE EVALUACION, ACREDITACION Y CERTIFICACION DE LA CALIDAD EDUCATIVA (SINEACE)",14243,"Sistema Nacional de Evaluación, Acreditación y Certificación de la Calidad Educativa (Sineace)",CAS,2026-05,145,7364.19,6364.19,9364.19,1166868.1,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=14243&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=6
ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE (OSINFOR),13658,Organismo de Supervisión de los Recursos Forestales y de Fauna Silvestre (OSINFOR),CAS,2026-04,180,6864.19,4278.9,7407.19,1160736.62,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13658&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=7
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES - LIMA (SJM),10083,Municipalidad Distrital de San Juan de Miraflores - LIMA (SJM),CAS,2026-01,455,1814.19,1500.0,1916.66,1158087.66,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10083&in_anno_consulta=2026&ch_mes_consulta=01&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=16
CORTE SUPERIOR DE JUSTICIA DE ANCASH (CSJA),10198,Corte Superior de Justicia de Ancash (CSJA),CAS,2026-05,358,3336.19,2864.19,3834.19,1151922.07,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10198&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=12
PATRONATO DEL PARQUE DE LAS LEYENDAS - FELIPE BENAVIDES BARREDA (PATPAL - FBB),115,Patronato del Parque de Las Leyendas - Felipe Benavides Barreda (PATPAL - FBB),CAS,2026-04,406,2011.8,1850.0,2750.0,1140901.99,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=115&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=14
MUNICIPALIDAD DISTRITAL DE PACHACAMAC (MDPACHACAMAC),10070,Municipalidad Distrital de Pachacámac (MDPACHACAMAC),CAS,2026-04,446,2064.19,1850.0,2398.19,1121145.32,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10070&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=30
GOBIERNO REGIONAL JUNIN (GRJ),10148,Gobierno Regional Junín (GRJ),CAS,2026-05,311,2750.0,2250.0,4600.0,1119786.66,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10148&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=11
CORTE SUPERIOR DE JUSTICIA DE LIMA SUR (CSJLIMASUR),18818,Corte Superior de Justicia de Lima Sur (CSJLimaSur),CAS,2026-05,366,2936.19,2314.19,3336.19,1107741.47,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=18818&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=13
PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO (PROVIAS DESCENTRALIZ),10020,Proyecto Especial de Infraestructura de Transporte Descentralizado (Provias Descentraliz),CAS,2026-04,128,9364.19,6364.19,10364.19,1099315.37,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10020&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=5
OFICINA NACIONAL DE PROCESOS ELECTORALES (ONPE),5022,Oficina Nacional de Procesos Electorales (ONPE),CAS,2026-05,226,4743.01,3799.52,6364.19,1095620.64,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=5022&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=8
MUNICIPALIDAD PROVINCIAL DE CAJAMARCA (MPC),739,Municipalidad Provincial de Cajamarca (MPC),CAS,2025-12,297,3214.19,2414.19,3414.19,1088430.78,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=739&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=11
MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE - LIMA (MD-PUEBLO LIBRE),10230,Municipalidad Distrital de Pueblo Libre - LIMA (MD-PUEBLO LIBRE),CAS,2026-03,352,2264.19,2100.0,2900.0,1082490.36,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10230&in_anno_consulta=2026&ch_mes_consulta=03&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=24
CORTE SUPERIOR DE JUSTICIA DE ICA (CSJI),10214,Corte Superior de Justicia de Ica (CSJI),CAS,2025-12,258,4214.19,3614.19,4570.45,1075982.62,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10214&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=9
MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR (MUNIVES),10122,Municipalidad Distrital de Villa El Salvador (MUNIVES),CAS,2026-05,420,2064.19,1864.19,2064.19,1074216.71,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10122&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=14
UNIVERSIDAD NACIONAL FEDERICO VILLARREAL (UNFV),10035,Universidad Nacional Federico Villarreal (UNFV),CAS,2026-02,415,2550.0,1964.19,2864.19,1073643.48,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10035&in_anno_consulta=2026&ch_mes_consulta=02&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=14
ORGANISMO DE FOCALIZACION E INFORMACION SOCIAL (OFIS),95997,Organismo de Focalización e Información Social (OFIS),CAS,2026-05,123,8000.0,7500.0,10000.0,1070500.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=95997&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=5
CORTE SUPERIOR DE JUSTICIA DE PUNO (CSJ PUNO),10229,CORTE SUPERIOR DE JUSTICIA DE PUNO (CSJ PUNO),CAS,2025-12,249,4274.98,3614.19,4678.31,1067537.36,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10229&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=9
HOSPITAL DE VENTANILLA (HDV-VENTANILLA),23873,HOSPITAL DE VENTANILLA (HDV-VENTANILLA),CAS,2025-11,342,2064.19,1764.19,3964.19,1061849.34,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=23873&in_anno_consulta=2025&ch_mes_consulta=11&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=12
CORTE SUPERIOR DE JUSTICIA DE AYACUCHO (D.J. AYACUCHO),10204,Corte Superior de Justicia de Ayacucho (D.J. AYACUCHO),CAS,2026-05,322,2936.19,2504.19,3336.19,1050129.9,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10204&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=33
MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO (MVMT),10124,Municipalidad Distrital de Villa María del Triunfo (MVMT),CAS,2026-04,491,1499.32,1403.31,1902.59,1035185.66,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10124&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=17
CORTE SUPERIOR DE JUSTICIA DEL CALLAO (CSJCL),10206,Corte Superior de Justicia del Callao (CSJCL),CAS,2026-04,322,3264.19,2576.19,3834.19,1033426.12,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10206&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=11
SERVICIO DE PARQUES DE LIMA (SERPAR - LIMA),12962,Servicio de Parques de Lima (SERPAR - LIMA),CAS,2026-05,431,1650.0,1564.19,1734.19,1029133.08,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=12962&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=15
MUNICIPALIDAD PROVINCIAL DE HUANCAYO (MPHUANCAYO),1190,Municipalidad Provincial de Huancayo (MPHuancayo),CAS,2026-03,260,2316.35,1464.19,6474.19,1023036.83,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=1190&in_anno_consulta=2026&ch_mes_consulta=03&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=9
FONDO NACIONAL DE DESARROLLO PESQUERO (FONDEPES),102,Fondo Nacional de Desarrollo Pesquero (FONDEPES),CAS,2026-05,139,6864.19,4100.0,10300.0,1018363.3,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=102&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=5
DIRECCION REGIONAL DE SALUD PASCO (DIRESA - PASCO),13299,Direccion Regional de Salud Pasco (DIRESA - PASCO),CAS,2025-12,357,2304.19,2064.19,3164.19,1008969.1,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13299&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=12
PROGRAMA DE EMPLEO TEMPORAL LLAMKASUN PERU (LLAMKASUN PERU),13106,Programa de Empleo Temporal Llamkasun Perú (Llamkasun Perú),CAS,2026-04,199,5100.0,2864.19,5864.19,1008550.34,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13106&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=8
"CONSEJO NACIONAL DE CIENCIA, TECNOLOGIA E INNOVACION (CONCYTEC)",186,"Consejo Nacional de Ciencia, Tecnología e Innovación (CONCYTEC)",CAS,2026-04,119,8364.19,5364.19,10364.19,999720.96,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=186&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=4
MARINA DE GUERRA DEL PERU (MGP),11794,Marina de Guerra del Perú (MGP),CAS,2026-04,257,3564.19,2365.19,5364.19,998793.93,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11794&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=9
HOSPITAL DE TINGO MARIA (HTM),13220,Hospital de Tingo María (HTM),CAS,2026-05,358,2164.19,2164.19,3264.19,997961.65,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13220&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=12
PROGRAMA SUBSECTORIAL DE IRRIGACIONES (PSI),13090,Programa Subsectorial de Irrigaciones (PSI),CAS,2026-04,133,6364.19,3864.19,10364.19,995341.08,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13090&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=5
HOSPITAL NACIONAL DOCENTE MADRE NINO SAN BARTOLOME (HONADOMANI SB),13718,Hospital Nacional Docente Madre Niño San Bartolomé (HONADOMANI SB),CAS,2026-01,219,3364.19,2264.19,7640.62,987203.55,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13718&in_anno_consulta=2026&ch_mes_consulta=01&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=8
SERVICIO DE ADMINISTRACION TRIBUTARIA (SAT),13134,Servicio de Administración Tributaria (SAT),CAS,2026-04,364,2200.0,1500.0,3500.0,982033.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13134&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=13
GOBIERNO REGIONAL CAJAMARCA (GRC),10137,Gobierno Regional Cajamarca (GRC),CAS,2026-03,275,3364.19,2164.19,3468.19,975816.85,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10137&in_anno_consulta=2026&ch_mes_consulta=03&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=10
UNIVERSIDAD NACIONAL HERMILIO VALDIZAN (UNHEVAL),10411,Universidad Nacional Hermilio Valdizan (UNHEVAL),CAS,2026-04,405,2164.19,1564.19,2864.19,974387.7,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10411&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=15
INSTITUTO NACIONAL DE SALUD DEL NINO (INSN),13180,Instituto Nacional de Salud del Niño (INSN),CAS,2026-05,251,3046.58,2118.12,3664.19,962909.2,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13180&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=9
UNIDAD EJECUTORA SALUD HUALGAYOC BAMBAMARCA (UESH-BCA),39943,UNIDAD EJECUTORA SALUD HUALGAYOC BAMBAMARCA (UESH-BCA),CAS,2025-12,304,2564.19,2364.19,3464.19,956732.87,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=39943&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=11
"CENTRO NACIONAL DE ESTIMACION, PREVENCION Y REDUCCION DEL RIESGO DE DESASTRES (CENEPRED)",14110,"Centro Nacional de Estimación, Prevención y Reducción del Riesgo de Desastres (CENEPRED)",CAS,2026-04,137,7364.19,6364.19,8364.19,956381.42,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=14110&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=5
MUNICIPALIDAD DISTRITAL DE BELLAVISTA - CALLAO (MUDIBE),10938,Municipalidad Distrital de Bellavista - Callao (MUDIBE),CAS,2026-03,342,2000.0,1400.0,3000.0,952861.65,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10938&in_anno_consulta=2026&ch_mes_consulta=03&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=12
MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA (MLV),10063,Municipalidad Distrital de La Victoria - Lima (MLV),CAS,2026-04,224,2214.19,2014.19,5464.19,950968.71,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10063&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=8
SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PUBLICOS (SUNARP),183,Superintendencia Nacional de los Registros Públicos (SUNARP),CAS,2026-04,153,6320.0,4532.68,7494.19,944196.69,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=183&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=6
MUNICIPALIDAD DISTRITAL DE CERRO COLORADO (MDCC),10481,Municipalidad Distrital de Cerro Colorado (MDCC),CAS,2026-04,361,2100.0,1800.0,2664.19,932750.82,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10481&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=13
UNIVERSIDAD NACIONAL DE HUANCAVELICA (UNH),10440,Universidad Nacional de Huancavelica (UNH),CAS,2026-04,383,2000.0,1690.19,2750.0,912864.27,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10440&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=13
HOSPITAL DE EMERGENCIAS JOSE CASIMIRO ULLOA (HEJCU),13965,Hospital de Emergencias José Casimiro Ulloa (HEJCU),CAS,2026-05,209,3245.39,2154.19,7420.86,907380.32,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13965&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=7
JUNTA NACIONAL DE JUSTICIA (JNJ),10021,JUNTA NACIONAL DE JUSTICIA (JNJ),CAS,2026-04,119,7864.19,4764.19,9364.19,905234.38,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10021&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=5
UNIDAD DE GESTION EDUCATIVA LOCAL NO 03 (UGEL NO 03),13773,UNIDAD DE GESTIÓN EDUCATIVA LOCAL Nº 03 (UGEL Nº 03),CAS,2026-02,215,3864.19,2864.19,5364.19,891300.85,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13773&in_anno_consulta=2026&ch_mes_consulta=02&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=8
UNIDAD DE GESTION EDUCATIVA LOCAL N 01 (UGEL01),13937,Unidad de Gestión Educativa Local N° 01 (UGEL01),CAS,2025-08,323,2500.0,1350.0,3500.0,890288.32,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13937&in_anno_consulta=2025&ch_mes_consulta=08&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=12
UNIDAD DE GESTION EDUCATIVA LOCAL NO 04 (UGEL04),14238,UNIDAD DE GESTIÓN EDUCATIVA LOCAL Nº 04 (UGEL04),CAS,2026-04,271,2864.19,2364.19,3851.58,882202.38,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=14238&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=10
MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR - LIMA (MDMM),10067,Municipalidad Distrital de Magdalena del Mar - LIMA (MDMM),CAS,2026-04,296,2175.0,1500.0,2500.0,880758.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10067&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=10
GOBIERNO REGIONAL CUSCO (GRCUSCO),10139,Gobierno Regional Cusco (GRCusco),CAS,2026-04,251,2414.19,2214.19,3564.19,872997.17,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10139&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=9
GERENCIA REGIONAL DE LA PRODUCCION - CUSCO (GEREPRO CUSCO),18605,GERENCIA REGIONAL DE LA PRODUCCION - CUSCO (GEREPRO CUSCO),CAS,2026-04,251,2414.19,2214.19,3564.19,872997.17,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=18605&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=9
GERENCIA REGIONAL DE TRABAJO Y PROMOCION DEL EMPLEO - CUSCO (GRTPE-CUSCO),14198,GERENCIA REGIONAL DE TRABAJO Y PROMOCIÓN DEL EMPLEO - CUSCO (GRTPE-CUSCO),CAS,2026-04,251,2414.19,2214.19,3564.19,872997.17,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=14198&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=9
DIRECCION REGIONAL DE COMERCIO EXTERIOR Y TURISMO DEL CUSCO (DIRCETUR-CUSCO),13895,Dirección Regional de Comercio Exterior y Turismo del Cusco (DIRCETUR-CUSCO),CAS,2026-04,251,2414.19,2214.19,3564.19,872997.17,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13895&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=9
