id_entidad,entidad,categoria,regimen,n,mediana,p25,p75,maximo,masa_mensual
12192,Municipalidad Provincial de San Román - Juliaca (MPSR),Municipalidad,CAS,282,2300,1900.0,2900.0,9790,727499
81976,"Municipalidad Distrital de Conceptualizacion PTE (conceptualizacion, p)",Municipalidad,CAS,276,1907,1717.31,2893.33,13500,782952
10137,Gobierno Regional Cajamarca (GRC),Gobierno Regional,CAS,275,3364,2164.19,3468.19,11364,975817
94,Instituto Geológico Minero y Metalúrgico (INGEMMET),Organismo público,CAS,271,5864,4600.0,7364.19,12364,1601190
14238,UNIDAD DE GESTIÓN EDUCATIVA LOCAL Nº 04 (UGEL04),Educación,CAS,271,2864,2364.19,3861.24,8340,882202
14303,Autoridad Nacional de Sanidad e Inocuidad en Pesca y Acuicultura (SANIPES),Salud,CAS,271,7015,5064.19,7517.14,32965,1917227
13856,SERVICIOS BASICOS DE SALUD CAÑETE YAUYOS (SBS CY),Salud,CAS,268,2064,1390.55,3164.19,10077,723481
85978,Unidad Ejecutora 401:salud Canas Canchis Espinar (U.E. 401 SCCE),Salud,CAS,268,2364,2364.19,3464.19,8514,794289
10201,Corte Superior de Justicia de Apurimac (D.J. APURIMAC),Justicia/Fiscalía,CAS,263,2936,2084.19,3336.19,6374,753040
10012,Gobierno Regional de Lima (GRL),Gobierno Regional,CAS,262,3000,2000.0,4500.0,6500,845917
18821,Hospital Sub Regional de Andahuaylas (HSRA),Salud,CAS,261,1800,1650.0,2900.0,8000,590560
18620,RED DE SALUD LEONCIO PRADO (REDLP),Salud,CAS,261,2228,2164.19,3264.19,8364,727005
10142,Gobierno Regional de Huancavelica (GR-Huancavelica),Gobierno Regional,CAS,261,2564,1970.16,3364.19,16728,816014
1190,Municipalidad Provincial de Huancayo (MPHuancayo),Municipalidad,CAS,260,2316,1472.0,6474.19,8739,1023037
11090,Municipalidad Distrital de El Tambo (MDT),Municipalidad,CAS,259,1730,1400.0,2294.19,5264,488511
10214,Corte Superior de Justicia de Ica (CSJI),Justicia/Fiscalía,CAS,258,4214,3614.19,4570.45,8364,1075983
